date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
2022-01-01 00:00:00,None,263.31,0.0,0.0,4,Clear,sky is clear,1054
2022-01-01 01:00:00,None,256.33,0.0,0.0,77,Clouds,overcast clouds,523
2022-01-01 02:00:00,None,258.02,0.0,0.0,17,Clear,sky is clear,729
2022-01-01 03:00:00,None,257.87,0.0,0.76,75,Snow,light snow,715
2022-01-01 04:00:00,None,258.61,19.36,0.0,82,Rain,moderate rain,561
2022-01-01 05:00:00,None,266.02,0.0,2.39,87,Snow,light snow,360
2022-01-01 06:00:00,None,259.92,0.0,2.14,81,Snow,light snow,577
2022-01-01 07:00:00,None,255.9,16.6,0.0,87,Rain,moderate rain,967
2022-01-01 08:00:00,None,258.61,0.0,0.0,58,Mist,mist,1018
2022-01-01 09:00:00,None,267.18,0.0,0.0,82,Clouds,overcast clouds,1834
2022-01-01 10:00:00,None,261.01,0.0,2.19,87,Snow,light snow,1502
2022-01-01 11:00:00,None,265.96,0.0,0.0,10,Clear,sky is clear,2321
2022-01-01 12:00:00,None,258.48,18.7,0.0,90,Rain,moderate rain,1738
2022-01-01 13:00:00,None,260.14,0.57,0.0,82,Drizzle,light intensity drizzle,2603
2022-01-01 14:00:00,None,258.42,0.0,0.0,37,Fog,fog,1296
2022-01-01 15:00:00,None,256.18,0.0,0.0,5,Clear,sky is clear,3122
2022-01-01 16:00:00,None,263.85,0.0,0.0,89,Clouds,overcast clouds,2583
2022-01-01 17:00:00,None,258.27,0.0,0.0,17,Clear,sky is clear,3037
2022-01-01 18:00:00,None,258.47,0.0,0.0,64,Mist,mist,1506
2022-01-01 19:00:00,None,267.4,0.0,2.46,86,Snow,light snow,333
2022-01-01 20:00:00,None,258.88,7.29,0.0,97,Rain,moderate rain,1029
2022-01-01 21:00:00,None,266.94,0.0,0.0,61,Mist,mist,1199
2022-01-01 22:00:00,None,267.81,0.0,1.29,88,Snow,light snow,236
2022-01-01 23:00:00,None,261.32,0.0,0.0,79,Clouds,overcast clouds,431
2022-01-02 00:00:00,None,263.58,2.24,0.0,73,Rain,light rain,484
2022-01-02 01:00:00,None,264.82,15.69,0.0,100,Rain,moderate rain,590
2022-01-02 02:00:00,None,261.73,0.0,0.0,75,Clouds,overcast clouds,902
2022-01-02 03:00:00,None,262.2,5.11,0.0,81,Rain,moderate rain,432
2022-01-02 04:00:00,None,255.41,0.0,0.0,65,Mist,mist,519
2022-01-02 05:00:00,None,262.01,0.69,0.0,78,Drizzle,light intensity drizzle,494
2022-01-02 06:00:00,None,256.23,0.0,0.0,31,Fog,fog,754
2022-01-02 07:00:00,None,263.4,0.0,0.0,3,Clear,sky is clear,554
2022-01-02 08:00:00,None,257.49,0.57,0.0,79,Drizzle,light intensity drizzle,555
2022-01-02 09:00:00,None,266.37,0.0,0.0,92,Clouds,overcast clouds,1700
2022-01-02 10:00:00,None,255.66,0.0,0.0,7,Clear,sky is clear,1840
2022-01-02 11:00:00,None,260.28,0.66,0.0,66,Drizzle,light intensity drizzle,1837
2022-01-02 12:00:00,None,259.93,0.0,0.0,44,Fog,fog,1470
2022-01-02 13:00:00,None,267.45,0.59,0.0,66,Drizzle,light intensity drizzle,2686
2022-01-02 14:00:00,None,264.56,0.0,0.0,18,Clear,sky is clear,2476
2022-01-02 15:00:00,None,261.54,1.46,0.0,65,Rain,light rain,1458
2022-01-02 16:00:00,None,263.78,11.06,0.0,98,Rain,moderate rain,1777
2022-01-02 17:00:00,None,255.52,0.0,0.0,91,Clouds,overcast clouds,2147
2022-01-02 18:00:00,None,267.15,15.05,0.0,88,Rain,moderate rain,1893
2022-01-02 19:00:00,None,263.39,0.78,0.0,67,Drizzle,light intensity drizzle,309
2022-01-02 20:00:00,None,260.96,0.0,0.0,83,Clouds,overcast clouds,435
2022-01-02 21:00:00,None,267.13,0.0,0.0,80,Clouds,overcast clouds,748
2022-01-02 22:00:00,None,265.84,0.0,2.97,90,Snow,light snow,506
2022-01-02 23:00:00,None,265.62,0.0,0.98,74,Snow,light snow,358
2022-01-03 00:00:00,None,256.39,2.27,0.0,70,Rain,light rain,278
2022-01-03 01:00:00,None,266.09,0.7,0.0,66,Drizzle,light intensity drizzle,194
2022-01-03 02:00:00,None,263.25,0.0,1.5,74,Snow,light snow,635
2022-01-03 03:00:00,None,257.1,1.06,0.0,65,Drizzle,light intensity drizzle,214
2022-01-03 04:00:00,None,255.98,3.3,0.0,78,Rain,light rain,546
2022-01-03 05:00:00,None,256.66,0.0,2.85,71,Snow,light snow,304
2022-01-03 06:00:00,None,258.24,0.0,0.0,88,Clouds,overcast clouds,6542
2022-01-03 07:00:00,None,264.74,17.97,0.0,85,Rain,moderate rain,4571
2022-01-03 08:00:00,None,264.58,0.0,0.0,57,Mist,mist,5092
2022-01-03 09:00:00,None,257.07,0.0,0.0,90,Clouds,overcast clouds,4911
2022-01-03 10:00:00,None,257.59,0.82,0.0,72,Drizzle,light intensity drizzle,2456
2022-01-03 11:00:00,None,255.31,10.98,0.0,82,Rain,moderate rain,3645
2022-01-03 12:00:00,None,259.56,0.0,0.0,40,Fog,fog,2380
2022-01-03 13:00:00,None,266.4,0.0,2.92,78,Snow,light snow,1303
2022-01-03 14:00:00,None,260.65,0.0,0.0,53,Mist,mist,2788
2022-01-03 15:00:00,None,266.69,8.82,0.0,80,Rain,moderate rain,6223
2022-01-03 16:00:00,None,262.0,10.46,0.0,90,Rain,moderate rain,5973
2022-01-03 17:00:00,None,266.02,0.0,2.25,80,Snow,light snow,4760
2022-01-03 18:00:00,None,262.21,11.31,0.0,85,Rain,moderate rain,6216
2022-01-03 19:00:00,None,260.28,0.0,0.0,18,Clear,sky is clear,2242
2022-01-03 20:00:00,None,263.51,0.93,0.0,81,Drizzle,light intensity drizzle,1969
2022-01-03 21:00:00,None,265.32,3.72,0.0,80,Rain,light rain,1928
2022-01-03 22:00:00,None,265.64,15.09,0.0,86,Rain,moderate rain,1045
2022-01-03 23:00:00,None,258.18,1.13,0.0,79,Drizzle,light intensity drizzle,524
2022-01-04 00:00:00,None,266.52,15.78,0.0,92,Rain,moderate rain,286
2022-01-04 01:00:00,None,263.94,0.0,0.0,91,Clouds,overcast clouds,575
2022-01-04 02:00:00,None,255.65,18.76,0.0,84,Rain,moderate rain,517
2022-01-04 03:00:00,None,267.84,0.0,0.0,69,Mist,mist,616
2022-01-04 04:00:00,None,260.55,1.48,0.0,80,Drizzle,light intensity drizzle,560
2022-01-04 05:00:00,None,258.37,17.6,0.0,96,Rain,moderate rain,532
2022-01-04 06:00:00,None,258.57,0.0,0.0,85,Clouds,overcast clouds,5309
2022-01-04 07:00:00,None,266.61,0.0,0.0,79,Clouds,overcast clouds,4876
2022-01-04 08:00:00,None,255.83,0.0,0.0,31,Fog,fog,3917
2022-01-04 09:00:00,None,260.06,0.0,0.0,12,Clear,sky is clear,5953
2022-01-04 10:00:00,None,255.08,0.0,0.0,63,Mist,mist,3102
2022-01-04 11:00:00,None,264.72,12.32,0.0,95,Rain,moderate rain,1767
2022-01-04 12:00:00,None,263.7,0.0,0.0,34,Fog,fog,2401
2022-01-04 13:00:00,None,266.79,0.0,0.0,14,Clear,sky is clear,2372
2022-01-04 14:00:00,None,255.65,0.0,0.0,40,Fog,fog,2917
2022-01-04 15:00:00,None,258.62,0.0,0.0,30,Fog,fog,4112
2022-01-04 16:00:00,None,267.37,14.75,0.0,100,Rain,moderate rain,4258
2022-01-04 17:00:00,None,267.34,17.59,0.0,87,Rain,moderate rain,4369
2022-01-04 18:00:00,None,256.49,11.98,0.0,91,Rain,moderate rain,4621
2022-01-04 19:00:00,None,267.53,0.0,0.0,84,Clouds,overcast clouds,1221
2022-01-04 20:00:00,None,262.52,0.0,2.79,82,Snow,light snow,1513
2022-01-04 21:00:00,None,257.58,6.53,0.0,99,Rain,moderate rain,1146
2022-01-04 22:00:00,None,262.36,0.0,0.0,11,Clear,sky is clear,1141
2022-01-04 23:00:00,None,261.58,0.0,0.0,65,Mist,mist,208
2022-01-05 00:00:00,None,260.64,0.0,0.0,54,Mist,mist,545
2022-01-05 01:00:00,None,257.29,0.0,2.82,85,Snow,light snow,408
2022-01-05 02:00:00,None,264.5,0.0,1.3,72,Snow,light snow,315
2022-01-05 03:00:00,None,258.17,1.08,0.0,75,Drizzle,light intensity drizzle,129
2022-01-05 04:00:00,None,261.43,0.0,0.0,58,Mist,mist,448
2022-01-05 05:00:00,None,258.64,0.0,1.91,76,Snow,light snow,123
2022-01-05 06:00:00,None,260.28,15.36,0.0,95,Rain,moderate rain,5362
2022-01-05 07:00:00,None,256.21,11.07,0.0,98,Rain,moderate rain,4800
2022-01-05 08:00:00,None,261.9,0.0,0.0,41,Fog,fog,3911
2022-01-05 09:00:00,None,258.27,0.0,0.0,92,Clouds,overcast clouds,4758
2022-01-05 10:00:00,None,257.49,0.73,0.0,81,Drizzle,light intensity drizzle,3222
2022-01-05 11:00:00,None,258.68,0.0,0.0,86,Clouds,overcast clouds,2367
2022-01-05 12:00:00,None,258.93,2.28,0.0,77,Rain,light rain,2350
2022-01-05 13:00:00,None,256.64,0.52,0.0,74,Drizzle,light intensity drizzle,2961
2022-01-05 14:00:00,None,261.22,0.0,0.0,65,Mist,mist,2233
2022-01-05 15:00:00,None,265.69,0.0,0.0,31,Fog,fog,3263
2022-01-05 16:00:00,None,262.32,0.0,1.31,87,Snow,light snow,4662
2022-01-05 17:00:00,None,265.28,16.64,0.0,94,Rain,moderate rain,5311
2022-01-05 18:00:00,None,267.87,0.0,0.89,73,Snow,light snow,4047
2022-01-05 19:00:00,None,258.44,0.0,0.0,77,Clouds,overcast clouds,1320
2022-01-05 20:00:00,None,255.03,1.23,0.0,66,Drizzle,light intensity drizzle,1474
2022-01-05 21:00:00,None,258.75,0.0,1.77,77,Snow,light snow,1228
